MoveIt! version 65805
Experiment unfurl
Running on furkand
Starting at 2023-Nov-10 15:41:24.814913
<<<|
|>>>
0 is the random seed
200 seconds per run
-1 MB per run
25.2278 seconds spent to collect the data
0 enum types
2 planners
RRTGoalRegion1
0 common properties
17 properties for each run
time REAL
success BOOLEAN
length REAL
machine_hostname VARCHAR(128)
machine_process_id BIGINT
machine_thread_id BIGINT
query_finish_time REAL
query_index INT
query_start_time REAL
query_timeout_trial INT
query_trial INT
request_group_name VARCHAR(128)
request_num_planning_attempts INT
request_planner_id VARCHAR(128)
request_planner_type VARCHAR(128)
robowflex_planner_name VARCHAR(128)
robowflex_robot_name VARCHAR(128)
200 runs
0.445133; 1; 7.7632174400496705; furkand; 852748; 140324317755136; 2.1283370000000001; 0; 1.6832039999999999; 0; 25; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.053367; 1; 13.572811669944365; furkand; 852748; 140324317755136; 2.1818029999999999; 0; 2.1284360000000002; 0; 28; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.265197; 1; 9.9264953370529945; furkand; 852748; 140324334540544; 2.382736; 0; 2.1175389999999998; 0; 27; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.843404; 1; 7.2051636271333077; furkand; 852748; 140324309362432; 2.3863829999999999; 0; 1.5429790000000001; 0; 22; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.493126; 1; 13.388177426591609; furkand; 852748; 140324326147840; 2.3910580000000001; 0; 1.897932; 0; 26; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.250366; 1; 12.796931020493377; furkand; 852748; 140324317755136; 2.4322789999999999; 0; 2.1819130000000002; 0; 29; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.044422; 1; 7.2153821385230898; furkand; 852748; 140324326147840; 2.4355829999999998; 0; 2.3911609999999999; 0; 32; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.052697; 1; 7.2144249780019925; furkand; 852748; 140324334540544; 2.4356200000000001; 0; 2.3829229999999999; 0; 30; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.043978; 1; 7.4631251555671394; furkand; 852748; 140324334540544; 2.4797820000000002; 0; 2.4358040000000001; 0; 35; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
0.04628; 1; 7.0842363050392532; furkand; 852748; 140324326147840; 2.4820340000000001; 0; 2.4357540000000002; 0; 34; panda_arm; 1; RRTGoalRegionkConfigDefault; robowflex::OMPL::PandaOMPLPipelinePlanner; ; panda; 
